company,department,title,salary,currency,gender,race,sexual_orientation,exp_years,country,city,inhouse,nb_jobs,happy_salary,nb_awards_top,nb_awards_inter,nb_awards_local
,Account Management at a Marketing Agency,Creative Account Manager,"25,244.16",USD,Female,Asian and Hispanic,Heterosexual,1,USA,Tampa,In-house,,,,,
,Ad Ops,Ad Operations & Digital Marketing Strategist,"43,000",USD,Male,African American,Heterosexual,2,USA,"Louisville, KY",In-house,,,,,
HP,Ad Ops,Ad Ops Lead,135000,USD,male,white,Bisexual,12,USA,san francisco,In-house,,,,,
,Ad Ops,Senior Ad Ops Analyst,72000,USD,Male,White,Straight,7,United States,New York,In-house,,,,,
,Agency Producer,Agency Producer,"$65,000",USD,Male,White,Gay,25,Canada,Calgary,In-house,,,,,
,Amsterdam,Content writer,36000,EUR,Male,White,Heterosexual,4,Netherlands,Amsterdam,In-house,5,No,,,
,Amsterdam,SEO Manager,53000,EUR,Man,White,Heterosexual,12,The Netherlands,Amsterdam,In-house,5,,,,
,Analytics,Director,170000,USD,Male,White,Heterosexual,14,United States,Boston,External,8,Yes,4,4,1
,Analytics,"Director, Analytics","$145,000",USD,Male,Latino,Gay,7,USA,Chicago,In-house,,,,,
legacy media company,analytics & audience,Lead,"140,000",USD,female,white,het,15,USA,New York,In-house,,,,,
Smart fish Asia,And Business Development. I hold two Posts ya,Social Media Manager / Business Development,"$1,600",SGD,Female,Peranakan,Female,5,Singapore,Singapore,In-house,,,,,
,Berlin,Senior Copywriter,57K,EUR,Male,Asian,Heterosexual,6,Germany,Berlin,In-house,4,No,5,10+,10+
Scout Branding,Birmingham,Client Services Manager,"$71,000",USD,Female,White,Heterosexual,11,United States,Birmingham,In-house,2,Yes,,,
Medium Sized Boston Firm,Boston,Associate Strategist,"$50,000",USD,Female,White,Heterosexual,1,United States,Boston,External,1,No,,,
,Brand,Digital Manager,"£26,500.00",GBP,female,White,Heterosexual,10,UK,Scotland,In-house,6,No,0,0,0
GTB,Brand Content & Alliances,Project Coordinator,"32,000",USD,Male,White,Gay,7,USA,Dearborn,External,,,,,
CPG company,Brand Marketing,Assistant Brand Marketing Manager,"57,000",USD,Female,Hispanic,Heterosexual,3,United States,Miami,In-house,,,,,
Indiana University Health,Brand/System Marketing,Marketing Associate,"52,000",USD,Female,White,Heterosexual,3,United States,Indianapolis,In-house,,,,,
Interbrand,Branding,Brand Consultant,36000,GBP,,White,Bisexual,2,UK,London,External,1,Yes,0,0,0
,Branding,Branding Producer,"66,000",,Male,Hispanic,Gay,2.5,USA,"New York, NY",External,,,,,
Ikon Communications,Brisbane,Dgitial Planner,"$57,000",AUD,Female,White,Heterosexual,2,Australia,Brisbane,External,2,No,,,
TBWA,Bucharest,Copywriter,"10,060",EUR,female,White,Heterosexual,5,Romania,Bucharest,In-house,3,No,,,
Wieden + Kennedy NY,Business Affairs,Business Affairs Coordinator,"50,000",USD,Male,Black,Queer,2,United States,New York,In-house,,,,,
,Business Affairs,Business affairs director,200000,,,,,12,USA,San Francisco,,,,,,
,Business Affairs,Business Affairs Manager,134000,USD,Male,African American,Heterosexual,2,USA,New York,In-house,,,,,
,Business Affairs,Jr Business Affairs Manager,"$40,000",USD,Female,White (Hispanic),,2,USA,Miami,In-house,,,,,
,Business Affairs,Sr. Business Affairs Manager,"84,000",USD,Female,White,Heterosexual,15,United States,Chicago,External,,,,,
,Business Affairs,Sr. Manager,"80,000.00",,Female,,,4,USA,Los Angeles,In-house,,,,,
BBDO,Business Affairs,Business Affairs Manager,"$50,000.00",USD,Female,White,Heterosexual,2.5,United States,Chicago,External,1,No,,,
,Business affairs,Director,195000,USD,Female,,,20,USA,New York city,External,,,,,
,Business Affairs,Executive Business Affairs Manager,"150,000",,Female,White,Heterosexual,11,USA,Los Angeles,In-house,,,,,
,CEO,CEO,145000,USD,Male,White,Straight,3,United States,"Bangor, ME",In-house,1,,,,
,Civil engineering,Oleg,"1,320$",USD,male,Europenian,Heterosexual,11,Ukraine,Zaporizhzhya,,10,Yes,0,0,0
Barkley (Boulder office),Client Services / Account Management,Rand Supervisor,"$67,000",,Female,White,Heterosexual,5,USA,Boulder,In-house,,,,,
Pandora Media,Client Services / Account Management,AAM,"46,000",USD,Female,Black,Cis,2,USA,Chicago,In-house,,,,,
,Client Services / Account Management,Account & Media Strategist,65000,USD,Female,White,Heterosexual,7,USA,Johnson City,In-house,,,,,
"Adlucent in Austin, TX - PLS KEEP PRIVATE",Client Services / Account Management,Account Coordinator,"$48,000",USD,Female,White,Heterosexual,2.5,USA,"Austin, TX",External,,,,,
,Client Services / Account Management,Account Coordinator,50000,USD,Female,White,,4,USA,Chicago,,,,,,
,Client Services / Account Management,Account Coordinator,"$40,000",USD,Male,White,,1,USA,Dallas,External,,,,,
Saatchi & Saatchi,Client Services / Account Management,Account Coordinator,"$40,000",,Male,White,Heterosexual,0,USA,Los Angeles,External,,,,,
,Client Services / Account Management,Account Coordinator,50000,,Female,Latinx,Heterosexual,2,USA,New Jersey,In-house,,,,,
,Client Services / Account Management,Account Coordinator,"$46,000",USD,Female,White,,2,USA,Scottsdale,In-house,,,,,
Abacus,Client Services / Account Management,Account Coordinator,35000,CAD,female,,Heterosexual,3,Canada,Toronto,In-house,,,,,
,Client Services / Account Management,Account Coordinator,45000,USD,Female,White,Heterosexual,1,USA,Chicago,In-house,,,,,
DEBRAIN,Client Services / Account Management,Account Coordinator,10.800 USD,USD,Female,Hispanic,Heterosexual,3,Colombia - Work remote for US company,Bogotá - Work for NY agency,In-house,,,,,
The Martin Agency,Client Services / Account Management,Account Coordinator,"40,000",USD,Male,Black,Heterosexual,0.5,United States,Richmond,,,,,,
,Client Services / Account Management,Account Coordinator,42000,USD,Female,White,Heterosexual,1.5,United States,Portland,External,,,,,
,Client Services / Account Management,Account Coordinator,"45,000",USD,Male,Black,Gay,1.5,United States,New York,In-house,2,,,,
,Client Services / Account Management,Account Coordinator,"$45,000",CAD,Female,White,Bisexual,1,Canada,Waterloo-Wellington,In-house,1,,,,
,Client Services / Account Management,Account Coordinator,"42,500",USD,Female,White,Heterosexual,1.5,United States,Milwaukee,,2,,,,
MatchMG,Client Services / Account Management,Account Coordinator,"$45,000",USD,Female,White,Heterosexual,1,United States,Boulder,In-house,4,No,,,
R/GA,Client Services / Account Management,Account Coordinator,70000,,Female,,,2,USA,New York,In-house,,,,,
Publicis Sapient,Client Services / Account Management,Account Coordinator,"58,000 + OT (2018 earnings ~$79k)",USD,F,Black,Heterosexual,1.5,USA,New York,External,,,,,
,Client Services / Account Management,Account Coordinator,"30,000",USD,Female,Caucasian,Heterosexual,1.5,USA,Houston,External,,,,,
,Client Services / Account Management,Account Coordinator,"37,000",USD,Female,White,Heterosexual,3,USA,Omaha,External,,,,,
,Client Services / Account Management,Account Coordinator,"$47,000",USD,Male,White,Heterosexual,2,United States,Portland,In-house,,,,,
,Client Services / Account Management,Account Coordinator,35000,USD,Female,Black,Heterosexual,1,United States,Greenville,In-house,1,,,,
,Client Services / Account Management,Account Coordinator,"$40,000",USD,Female,White,,4,USA,"Portland, OR",In-house,,,,,
,Client Services / Account Management,Account direcror,"108,000",USD,Female,White,Heterosexual,6,USA,New York city,Branding agency,,,,,
Privately owned agency,Client Services / Account Management,Account Director,"$100,000",AUD,Female,Caucasian,Heterosexual,8,Australia,Adelaide,External,,,,,
,Client Services / Account Management,Account Director,"105,000",USD,Female,White,Heterosexual,8,USA,Chicago,,,,,,
,Client Services / Account Management,Account Director,"110,000",USD,female,hispanic,bisexual,7,USA,chicago,In-house,,,,,
Momentum,Client Services / Account Management,Account Director,"110,000",USD,Female,White,,10,USA,Chicago,In-house,,,,,
,Client Services / Account Management,Account Director,85000,USD,Female,Caucasian,,7,USA,Cincinnati,In-house,,,,,
,Client Services / Account Management,Account Director,125,,,,,20,USA,Denver,External,,,,,
Havas,Client Services / Account Management,Account Director,"$140,000",,F,,,10,USA,Havas,External,,,,,
,Client Services / Account Management,Account Director,125000,USD,Female,Caucasian,Heterosexual,13,USA,LA,External,,,,,
AMV BBDO,Client Services / Account Management,Account Director,£40k,,Female,Caucasian,Heterosexual,5,UK,London,External,,,,,
,Client Services / Account Management,Account Director,135000,,Female,Asian American,,15,USA,Los Angeles,External,,,,,
,Client Services / Account Management,Account Director,"160,000",USD,Female,White,Heterosexual,9,USA,Los Angeles,External,,,,,
,Client Services / Account Management,Account Director,$100k (including super),AUD,Female,White,Heterosexual,7,Australia,Melbourne,In-house,,,,,
,Client Services / Account Management,Account Director,"86,000",USD,Male,White,Heterosexual,10,USA,Milwaukee,External,,,,,
,Client Services / Account Management,Account Director,"130,000",,Female,White,Heterosexual,13,USA,Minneapolis,External,,,,,
R/GA,Client Services / Account Management,Account Director,"110,000",,Male,White,Heterosexual,5,USA,New York,,,,,,
FCB Heath,Client Services / Account Management,Account Director,"$115,000",,Female,Caucasian,,8,USA,New York,In-house,,,,,
,Client Services / Account Management,Account Director,90k,,,,,5,USA,New York,In-house,,,,,
Ogilvy,Client Services / Account Management,Account Director,"145,000",USD,Female,Asian,Heterosexual,10,USA,New York,External,,,,,
BBDO New York,Client Services / Account Management,Account Director,"100,000",USD,Female,White,Heterosexual,10,USA,New York,,,,,,
,Client Services / Account Management,Account Director,130000,USD,M,Caucasian,Heterosexual,9,USA,New York,,,,,,
,Client Services / Account Management,Account Director,"112,000",USD,Male,White,Heterosexual,10,USA,New York,In-house,,,,,
,Client Services / Account Management,Account Director,120000,USD,Female,White,Heterosexual,10,USA,New York,In-house,,,,,
McCann,Client Services / Account Management,Account Director,115000,USD,fenale,hispanic,Heterosexual,7,USA,New York,External,,,,,
,Client Services / Account Management,Account Director,"115,000",,Female,Asian,Heterosexual,8.5,USA,New York City,External,,,,,
R/GA,Client Services / Account Management,Account Director,"125,000",,Male,White,Heterosexual,6,USA,New York city,External,,,,,
,Client Services / Account Management,Account Director,155000,,Female,White,Heterosexual,13,USA,New York City,External,,,,,
,Client Services / Account Management,Account Director,"$120,000",USD,Male,White,Heterosexual,8,USA,New York City,External,,,,,
Edelman,Client Services / Account Management,Account Director,"140,000",,Female,,Queer,9,USA,NYC,External,,,,,
R/GA,Client Services / Account Management,Account Director,175000,,female,asian,Heterosexual,13,USA,"Portland, OR",In-house,,,,,
,Client Services / Account Management,Account Director,"$90,000",USD,Female,White,,5,USA,San Diego,In-house,,,,,
,Client Services / Account Management,Account Director,"145,000",USD,female,caucasian,Heterosexual,12,USA,"Seattle, WA",In-house,,,,,
McCann,Client Services / Account Management,Account Director,90000,,male,white,Heterosexual,6,Canada,Toronto,,,,,,
,Client Services / Account Management,Account Director,"110,000",USD,Male,White,Heterosexual,5,USA,New York,In-house,,,,,
Ogilvy,Client Services / Account Management,Account Director,"95,000",USD,Female,White,Heterosexual,6,USA,New York,External,,,,,
FCB,Client Services / Account Management,Account Director,"100,000.00",USD,Female,White,Heterosexual,9,USA,CHICAGO,External,,,,,
Red Antler,Client Services / Account Management,Account Director,"145,000",USD,Female,White,Heterosexual,8,USA,New York City,In-house,,,,,
,Client Services / Account Management,Account Director,"130,000",USD,Female,White,Heterosexual,8,USA,LA,External,,,,,
,Client Services / Account Management,Account Director,"$90,000",AUD,Female,Caucasian,Heterosexual,9,Australia,Sydney,In-house,,,,,
Droga5,Client Services / Account Management,Account Director,150000,USD,Female,White,,10,USA,New York,External,,,,,
Rain,Client Services / Account Management,Account Director,82000,USD,Male,White,Heterosexual,9,USA,"Portland, or",External,,,,,
BBDO,Client Services / Account Management,Account Director,"115,000",USD,Female,,,7,USA,New York City,External,,,,,
Ogilvy UK,Client Services / Account Management,Account Director,40000,GBP,Male,Caucasian,Heterosexual,5.5,UK,London,External,,,,,
Havas,Client Services / Account Management,Account Director,"$160,000",USD,Female,White,Heterosexual,10,USA,New York,External,,,,,
,Client Services / Account Management,Account Director,"90,000",USD,Female,White,,15,USA,Salt Lake City,External,,,,,
Aisle Rocket,Client Services / Account Management,Account Director,"$76,500",USD,female,,Heterosexual,12,USA,Saint Joseph,External,,,,,
M&C Saatchi,Client Services / Account Management,Account Director,40000,GBP,Male,White,Heterosexual,4,UK,London,In-house,,,,,
,Client Services / Account Management,Account Director,145000,USD,Male,White,,8,USA,San Francisco,External,,,,,
,Client Services / Account Management,Account Director,"$110,000",USD,Female,Caucasian,Heterosexual,6,USA,Chicago,External,,,,,
,Client Services / Account Management,Account Director,"120,000",USD,Female,Latina,Heterosexual,6,USA,New York,External,,,,,
,Client Services / Account Management,Account Director,"115,000",USD,Female,,,13,USA,Austin,External,,,,,
,Client Services / Account Management,Account Director,"$120,000",USD,Female,Caucasian,Heterosexual,11,USA,San Francisco,In-house,,,,,
Publicis,Client Services / Account Management,Account Director,"$75,000",CAD,Female,Chinese,Heterosexual,8.5,Canada,Toronto,Agency,,,,,
,Client Services / Account Management,Account director,"140,000",USD,Female,White,Heterosexual,13,United States,New York,In-house,,,,,
,Client Services / Account Management,Account Director,"$195,000",USD,Male,White,Heterosexual,8.5,United States,Los Angeles,External,,,,,
,Client Services / Account Management,Account Director,150000,USD,Male,White,Heterosexual,6,United States,San Francisco,External,,,,,
,Client Services / Account Management,Account Director,100k,CAD,Female,Caucasian,Heterosexual,7,Canada,Toronto,External,,,,,
,Client Services / Account Management,Account Director,100k,CAD,Female,Caucasian,Heterosexual,7,Canada,Toronto,External,,,,,
,Client Services / Account Management,Account Director,"158,500",USD,Female,White,Heterosexual,10,United States,New York,External,,,,,
Droga5,Client Services / Account Management,Account Director,"$150,000",USD,Male,Black,Heterosexual,6,United States,New York,In-house,,,,,
,Client Services / Account Management,Account Director,105000,USD,Female,White,Heterosexual,10,United States,New York,External,,,,,
,Client Services / Account Management,Account Director,"$115,000",USD,Female,White,Heterosexual,8,United States,Boston,In-house,,,,,
,Client Services / Account Management,Account Director,"90,200",USD,Female,White,Heterosexual,8,United States,New York,External,,,,,
McCann Worldgroup,Client Services / Account Management,Account Director,"102,000",USD,Female,White,,15,United States,"Stamford, CT",External,,,,,
,Client Services / Account Management,Account Director,"165,000",USD,Female,White,Heterosexual,15,United States,San Francisco,In-house,,,,,
,Client Services / Account Management,Account Director,"$140,000",USD,Male,White,Heterosexual,13,United States,Minneapolis,In-house,,,,,
,Client Services / Account Management,Account Director,"87,000",USD,,White,Heterosexual,10,United States,New York,,,,,,
,Client Services / Account Management,Account Director,"$102,000",USD,Female,White,Heterosexual,13,United States,Midwest,External,,,,,
AMV BBDO,Client Services / Account Management,Account Director,"£50,000",GBP,,,,6,UK,London,,,,,,
Azai Studios,Client Services / Account Management,Account Director,95000,USD,female,Asian,Heterosexual,4,United States,New York,In-house,,,,,
FCB Chicago,Client Services / Account Management,Account Director,"$90,000",USD,Female,White,Heterosexual,7.5,United States,Chicago,In-house,,,,,
,Client Services / Account Management,Account Director,"$100,000",USD,Female,White,,6.5,United States,Denver,,,,,,
TMP Worldwide Advertising,Client Services / Account Management,Account Director,"87,000",USD,Female,Latinx,Heterosexual,7,United States,Los Angeles,In-house,,,,,
Sixteenfifty Creative Agency,Client Services / Account Management,Account Director,"100,000",USD,Female,White,Heterosexual,10,United States,San Diego,In-house,,,,,
,Client Services / Account Management,Account Director,"130,000",USD,,White,Heterosexual,6,United States,New York,External,,,,,
,Client Services / Account Management,Account Director,"140,000",USD,female,White,Heterosexual,14,United States,New York,External,,,,,
,Client Services / Account Management,Account Director,"$150,000",USD,Male,White,Heterosexual,15,United States,New York,External,,,,,
,Client Services / Account Management,Account Director,"$135,000",USD,Female,White,Heterosexual,20,United States,Chicago,External,,,,,
,Client Services / Account Management,Account Director,"$190,000",USD,,White,Heterosexual,16,United States,San Diego,In-house,4,,,,
,Client Services / Account Management,Account Director,"120,000",USD,Female,White,Heterosexual,20,United States,Kansas City,External,3,,,,
,Client Services / Account Management,Account Director,120000,USD,Female,White,Heterosexual,11,United States,New York,In-house,2,,,,
Wunderman Thompson,Client Services / Account Management,Account Director,"105,000",USD,Female,White,Heterosexual,4,United States,Los Angeles,External,3,,,,
,Client Services / Account Management,Account Director,"$147,000",USD,Female,Asian,Heterosexual,9,United States,New York,External,5,,,,
,Client Services / Account Management,Account Director,55000,GBP,Male,White,Heterosexual,7,UK,London,,3,,,,
Vizeum UK,Client Services / Account Management,Account Director,"£52,000",GBP,Male,White,Heterosexual,7,UK,London,External,4,,,,
,Client Services / Account Management,Account Director,"50,000",GBP,Female,White,Heterosexual,5,UK,London,External,3,,,,
,Client Services / Account Management,Account Director,125000,USD,Female,White,Heterosexual,10,United States,"Washington, DC",External,4,No,,,1
,Client Services / Account Management,account director,"45,000",GBP,female,White,Heterosexual,7,UK,london,In-house,3,No,2,2,2
,Client Services / Account Management,Account Director,"40,000",GBP,Male,White,Heterosexual,4.5,UK,London,External,3,Yes,,,
,Client Services / Account Management,Account Director,"92,000",USD,female,White,Heterosexual,12,United States,San Diego,External,7,No,1,,4
,Client Services / Account Management,Account Director,"53,000",GBP,Female,White,Heterosexual,6,UK,London,External,5,Yes,,,4
,Client Services / Account Management,Account Director,"110,000",USD,Female,White,Heterosexual,8,United States,Austin,In-house,5,Yes,1,1,1
W+K PDX,Client Services / Account Management,Account Director,"$135,000",USD,Female,White,Heterosexual,14,United States,Portland,In-house,4,No,10+,5,
VMLY&R,Client Services / Account Management,Account Director,90000,AUD,Female,White,Bisexual,5,Australia,Sydney,In-house,3,No,0,0,3
Mindshare,Client Services / Account Management,Account Director,57500,GBP,Female,White,Heterosexual,8,UK,London,,2,No,,,1
M&C Saatchi,Client Services / Account Management,Account Director,"45,000",GBP,Female,White,Heterosexual,8,UK,London,,3,No,2,0,
,Client Services / Account Management,Account Director,70000,EUR,,,,16,Ireland,Dublin,In-house,7,No,0,0,0
Publicis,Client Services / Account Management,Account Director,"$110,000.00",USD,Female,White,,16,United States,Boston,In-house,6,No,0,0,0
,Client Services / Account Management,Account Director,"85,000",AUD,Female,White,Heterosexual,10,Australia,Australia,In-house,2,No,0,5,2
,Client Services / Account Management,Account Director,96000,MYR,Female,Asian,Heterosexual,14,Malaysia,Kuala Lumpur,In-house,5,Yes,0,0,0
,Client Services / Account Management,Account Director,97500,AUD,Female,White,Bisexual,7,Australia,SYDNEY,PRODUCTION COMPANY,4,Yes,0,2,3
,Client Services / Account Management,Account Director,"115,000",USD,Female,White,Heterosexual,10,USA,Chicago,External,,,,,
,Client Services / Account Management,Account director,130000,USD,Female,White,Heterosexual,20,USA,Hartford,External,,,,,
,Client Services / Account Management,Account director,130000,USD,Female,White,Heterosexual,20,USA,Hartford,External,,,,,
,Client Services / Account Management,Account director,140000,USD,Female,White,Heterosexual,15,USA,San Diego,In-house,,,,,
,Client Services / Account Management,Account Director,"135,000",,Male,Asian,Hetrosexual,20,USA,San Francisco,External,,,,,
,Client Services / Account Management,Account director,"110,000",,Female,Caucasian,Heterosexual,10,Canada,Toronto,External,,,,,
Ogilvy,Client Services / Account Management,Account Director,"80,000",CAD,Female,Caucasian,Heterosexual,6,Canada,Toronto,In-house,,,,,
,Client Services / Account Management,Account Director,"125,000",USD,Male,Latin,Heterosexual,13,USA,Los Angeles,In-house,,,,,
,Client Services / Account Management,Account Director,"$150,000",USD,Female,Latina,Heterosexual,8,USA,NYC,In-house,,,,,
,Client Services / Account Management,Account director,"134,000",USD,Female,Caucasian,Heterosexual,14,United States,Dallas,In-house,,,,,
Octagon,Client Services / Account Management,Account Director,"90,000",USD,Female,White,Heterosexual,15,United States,Los Angeles,In-house,,,,,
R/GA,Client Services / Account Management,Account Director,"$110,000 AUD",AUD,F,White,Heterosexual,7,Australia,Sydney,,,,,,
Johannes Leonardo,Client Services / Account Management,Account director,145000,USD,,White,Heterosexual,9,United States,New York,In-house,,,,,
,Client Services / Account Management,Account director,"140,000",USD,Female,White,Heterosexual,8,United States,New York,In-house,,,,,
,Client Services / Account Management,Account Director,46000,GBP,Male,White,Heterosexual,6,Sweden,Gothenburg,External,5,Yes,10+,10+,0
,Client Services / Account Management,Account Exec,"50,000",USD,Male,White,,3,United States,Boston,External,,,,,
CDM NYC,Client Services / Account Management,Account Exective,"$61,000.00",USD,Male,,,3,USA,New York City,In-house,,,,,
,Client Services / Account Management,Account Executive,"$48,000",,Cis Male,White,Gay,2,USA,Atlanta,In-house,,,,,
Territory Influence,Client Services / Account Management,Account Executive,26000,EUR,Male,White,,4,Spain,Barcelona,In-house,,,,,
,Client Services / Account Management,Account Executive,"70,000",,Female,Caucasian,,5,USA,Charlotte,In-house,,,,,
,Client Services / Account Management,Account Executive,60000,USD,Female,White,Heterosexual,2,USA,Chicago,External,,,,,
,Client Services / Account Management,Account Executive,"$42,000",USD,Female,Caucasian,Heterosexual,2.5,USA,Dallas,External,,,,,
,Client Services / Account Management,Account executive,$58K,USD,Female,Hispanic,Heterosexual,4,USA,Los Angeles,External,,,,,
Anomaly,Client Services / Account Management,Account Executive,"58,000",,Male,Black,,1,USA,New York,,,,,,
Havas,Client Services / Account Management,Account Executive,"65,000",,Femal,White,Heterosexual,4,USA,New York,In-house,,,,,
,Client Services / Account Management,Account Executive,75000,,Female,Black,Heterosexual,5,USA,New York,,,,,,
,Client Services / Account Management,Account Executive,65000,,Female,Black,Heterosexual,1.5,USA,New York,,,,,,
Publicis,Client Services / Account Management,Account Executive,"65000 (got a raise, started at 55)",,Male,Asian,,5,USA,New York,External,,,,,
Havas,Client Services / Account Management,Account Executive,65000,USD,Male,,,3.5,USA,New York,,,,,,
TMP,Client Services / Account Management,Account Executive,"45,000",USD,Male,White,Heterosexual,1,USA,New York,External,,,,,
,Client Services / Account Management,Account Executive,"60,000",USD,Female,White,Heterosexual,4,USA,New York City,External,,,,,
Saatchi & Saatchi NY,Client Services / Account Management,Account Executive,"$56,500",USD,Male,White,Bi,2.5,USA,New York City,,,,,,
Publicis North America,Client Services / Account Management,Account Executive,"$58,500",,Female,African American,Heterosexual,4,USA,"New York, NY",External,,,,,
n/a,Client Services / Account Management,Account Executive,"$63,000",,female,,,4,USA,NYC,External,,,,,
W+K,Client Services / Account Management,Account Executive,"$55,000",,Female,HIspanic,Heterosexual,2.5,USA,NYC,,,,,,
McCann,Client Services / Account Management,Account Executive,"63,000",USD,Female,White,Heterosexual,2,USA,NYC,External,,,,,
,Client Services / Account Management,Account Executive,"65,009",USD,Female,White,Heterosexual,2,USA,NYC,In-house,,,,,
,Client Services / Account Management,Account Executive,"50,000",USD,Female,,,3,USA,Omaha,In-house,,,,,
Heat,Client Services / Account Management,Account Executive,"70,000",USD,Female,White,Heterosexual,4,USA,San Francisco,,,,,,
,Client Services / Account Management,account executive,57000,CAD,female,white,Heterosexual,5,Canada,Toronto,External,,,,,
Mullen Lowe,Client Services / Account Management,Account Executive,"60,000",USD,Femal,African American,Heterosexual,2,USA,Los Angeles,In-house,,,,,
VMLY&R,Client Services / Account Management,Account Executive,"$60,000",USD,Female,Caucasian,Heterosexual,3,USA,New York,In-house,,,,,
,Client Services / Account Management,Account Executive,"€ 30,000",EUR,Female,White,Heterosexual,1.5,Ireland,Dublin,In-house,,,,,
McCann,Client Services / Account Management,Account Executive,12.600€/year,EUR,Femanle,,Heterosexual,1,Spain,MADRID,In-house,,,,,
,Client Services / Account Management,account executive,"67,000",USD,female,caucasian,Heterosexual,23,USA,"Hingham, MA",In-house,,,,,
,Client Services / Account Management,Account Executive,65000,USD,,,,4,USA,NYC,,,,,,
